City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nar'yan-mar,67.6713,53.087,6.97,88,30,2.92,RU,1693438424
1,shakawe,-18.3667,21.85,13.16,31,0,2.57,BW,1693438424
2,matoury,4.8483,-52.3317,27.98,78,0,0.51,GF,1693438425
3,susuman,62.7833,148.1667,17.65,57,100,10.23,RU,1693438425
4,puerto ayora,-0.7393,-90.3518,24.75,91,71,4.47,EC,1693438426
5,waitangi,-43.9535,-176.5597,11.57,82,81,2.24,NZ,1693438427
6,ola,59.5833,151.2833,16.19,89,95,4.42,RU,1693438427
7,anna regina,7.2644,-58.5077,27.5,78,0,3.95,GY,1693438428
8,adamstown,-25.066,-130.1015,21.01,85,100,5.92,PN,1693438428
9,papatowai,-46.5619,169.4708,13.37,52,33,1.3,NZ,1693438429
10,talnakh,69.4865,88.3972,4.56,76,1,1.53,RU,1693438430
11,chonchi,-42.6128,-73.8092,6.56,89,100,2.04,CL,1693438431
12,broome,42.2506,-75.833,18.65,78,100,3.09,US,1693438431
13,bethel,41.3712,-73.414,24.72,69,0,2.06,US,1693438169
14,beloyarskiy,63.7119,66.6722,12.71,86,100,4.7,RU,1693438432
15,hamilton,39.1834,-84.5333,21.6,66,0,6.17,US,1693438164
16,hawaiian paradise park,19.5933,-154.9731,27.8,88,100,6.17,US,1693438433
17,invercargill,-46.4,168.35,15.01,54,43,5.81,NZ,1693438434
18,port alfred,-33.5906,26.891,22.27,33,0,4.59,ZA,1693438435
19,spring creek,40.7266,-115.5859,28.23,12,0,4.68,US,1693438396
20,port-aux-francais,-49.35,70.2167,5.33,81,100,18.4,TF,1693438436
21,margaret river,-33.95,115.0667,11.62,72,1,4.23,AU,1693438436
22,la ronge,55.1001,-105.2842,29.14,37,40,4.12,CA,1693438437
23,umba,66.6871,34.3429,10.84,92,100,3.24,RU,1693438438
24,labrador city,52.9463,-66.9114,8.95,61,75,3.6,CA,1693438214
25,kapoeta,4.7717,33.5903,23.01,75,99,2.33,SS,1693438218
26,mokhsogollokh,61.4681,128.9203,21.08,56,18,2.16,RU,1693438439
27,tete,-16.1564,33.5867,20.05,68,0,2.06,MZ,1693438440
28,afaahiti,-17.75,-149.2833,26.93,75,91,5.75,PF,1693438440
29,anadyr,64.75,177.4833,11.28,81,40,5.0,RU,1693438441
30,san carlos del zulia,9.0,-71.9135,29.51,69,74,2.65,VE,1693438420
31,zamora,-4.0692,-78.9567,30.58,80,66,0.45,EC,1693438442
32,maitum,6.0392,124.4986,28.44,70,4,0.22,PH,1693438443
33,sitka,57.0531,-135.33,15.94,82,100,4.63,US,1693438444
34,kilindoni,-7.9139,39.6668,24.37,82,5,6.88,TZ,1693438445
35,alice springs,-23.7,133.8833,14.75,47,0,4.12,AU,1693438285
36,thompson,55.7435,-97.8558,22.09,68,40,1.54,CA,1693438446
37,leo,11.1,-2.1,21.67,87,100,2.55,BF,1693438447
38,nakuru,-0.2833,36.0667,14.06,86,81,2.29,KE,1693438448
39,yellowknife,62.456,-114.3525,21.9,69,100,2.06,CA,1693438199
40,kailua-kona,19.6406,-155.9956,29.98,70,20,5.14,US,1693438449
41,lukolela,-1.0605,17.1821,21.8,79,11,1.66,CD,1693438449
42,tiksi,71.6872,128.8694,1.36,70,96,7.0,RU,1693438450
43,mugia,43.1041,-9.2179,19.95,92,38,2.86,ES,1693438450
44,kuragino,53.8975,92.6725,17.1,94,100,1.22,RU,1693438451
45,east london,-33.0153,27.9116,21.52,32,0,3.56,ZA,1693438452
46,effium,6.6292,8.0593,22.84,97,100,1.81,NG,1693438452
47,jiangzi,28.95,89.6333,7.41,70,13,2.16,CN,1693438453
48,inhambane,-23.865,35.3833,19.54,78,28,1.49,MZ,1693438454
49,qusmuryn,52.4503,64.6311,9.9,89,100,7.3,KZ,1693438454
50,yellapur,14.9667,74.7167,20.46,99,50,0.66,IN,1693438455
51,whitehorse,60.7161,-135.0538,22.23,42,75,1.79,CA,1693438302
52,isola di capo rizzuto,38.96,17.0933,20.9,64,5,4.67,IT,1693438243
53,polyarnyy,69.1989,33.4478,10.96,86,12,2.87,RU,1693438457
54,blackmans bay,-43.0167,147.3167,12.07,72,100,4.64,AU,1693438457
55,punta arenas,-53.15,-70.9167,2.41,82,78,6.39,CL,1693438313
56,santiago del torno,-17.9833,-63.3833,28.1,36,2,3.48,BO,1693438458
57,tralee,52.2704,-9.7026,13.18,98,100,3.37,IE,1693438459
58,ribeira grande,38.5167,-28.7,22.65,87,54,0.89,PT,1693438460
59,aasiaat,68.7098,-52.8699,3.12,88,100,5.88,GL,1693438460
60,la sierpe,2.8518,-77.6155,26.69,88,48,1.95,CO,1693438461
61,iqaluit,63.7506,-68.5145,3.85,86,75,2.06,CA,1693438213
62,gadzhiyevo,69.2551,33.3362,10.63,86,10,2.37,RU,1693438462
63,edinburgh of the seven seas,-37.0676,-12.3116,11.83,69,27,7.48,SH,1693438463
64,hassi messaoud,31.6804,6.0729,27.92,57,40,3.09,DZ,1693438463
65,albany,42.6001,-73.9662,20.76,73,18,0.89,US,1693438456
66,chapeco,-27.0964,-52.6183,19.86,64,0,4.63,BR,1693438326
67,hermanus,-34.4187,19.2345,13.78,93,100,7.25,ZA,1693438465
68,college,64.8569,-147.8028,14.48,89,100,3.09,US,1693438465
69,west island,-12.1568,96.8225,25.99,83,75,4.63,CC,1693438466
70,newport,51.5877,-2.9984,14.14,85,97,2.02,GB,1693438379
71,mahajanga,-15.7167,46.3167,24.01,60,40,5.14,MG,1693438468
72,afua,-0.1567,-50.3867,26.32,78,11,3.13,BR,1693438469
73,liwale,-9.7667,37.9333,18.2,94,25,1.32,TZ,1693438469
74,newman,37.3138,-121.0208,35.13,7,0,2.11,US,1693438470
75,ushuaia,-54.8,-68.3,2.81,65,40,2.57,AR,1693438325
76,valentin gomez farias,28.2167,-106.5833,27.67,23,55,6.01,MX,1693438472
77,alofi,-19.0595,-169.9187,25.94,57,75,6.17,NU,1693438473
78,bamboo flat,11.7,92.7167,27.05,89,75,2.57,IN,1693438473
79,tazacorte,28.629,-17.9293,23.54,75,100,4.12,ES,1693438474
80,wailua homesteads,22.0669,-159.378,29.44,78,40,6.69,US,1693438398
81,zheshart,62.0731,49.5733,10.79,78,88,0.9,RU,1693438475
82,bredasdorp,-34.5322,20.0403,12.88,96,85,2.48,ZA,1693438456
83,grytviken,-54.2811,-36.5092,-3.33,75,65,2.12,GS,1693438477
84,hakui,36.8833,136.7833,31.25,64,100,1.52,JP,1693438477
85,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,68,0,3.0,RU,1693438478
86,fisterra,42.9049,-9.2629,19.86,93,32,3.41,ES,1693438478
87,buka,40.8108,69.1986,18.61,67,86,1.34,UZ,1693438479
88,utrik,11.2278,169.8474,28.6,74,33,7.36,MH,1693438480
89,laayoune,27.1622,-13.2032,22.19,100,75,6.69,EH,1693438480
90,vilyuchinsk,52.9306,158.4028,18.15,63,19,4.23,RU,1693438481
91,ataq,14.5377,46.8319,27.29,33,43,3.38,YE,1693438481
92,yuzhno-kurilsk,44.0306,145.8556,18.54,91,95,5.83,RU,1693438482
93,kotido,2.9806,34.1331,20.72,69,88,0.26,UG,1693438483
94,walvis bay,-22.9575,14.5053,13.53,94,1,0.51,NA,1693438483
95,barberton,-25.7884,31.0532,14.05,79,0,1.09,ZA,1693438484
96,bathsheba,13.2167,-59.5167,28.34,89,40,6.69,BB,1693438484
97,taro,-8.3862,115.28,21.03,84,73,1.23,ID,1693438486
98,aykhal,66.0,111.5,7.53,93,100,6.93,RU,1693438486
99,cadale,2.7603,46.3222,24.9,83,99,7.76,SO,1693438487
100,klyuchi,52.2667,79.1667,17.87,49,59,1.7,RU,1693438487
101,lebu,-37.6167,-73.65,8.58,77,44,1.25,CL,1693438488
102,nizhniye vyazovyye,55.7988,48.5248,14.07,57,100,3.33,RU,1693438489
103,stanley,54.868,-1.6985,11.14,92,0,1.03,GB,1693438475
104,rawai,7.7797,98.3253,28.06,74,98,7.17,TH,1693438490
105,lompoc,34.6391,-120.4579,30.43,48,0,4.63,US,1693438293
106,baki,-7.6128,110.7839,23.3,72,96,3.81,ID,1693438491
107,esmeraldas,-19.7625,-44.3139,24.58,54,58,1.28,BR,1693438492
108,keflavik,64.0049,-22.5624,11.95,87,75,6.69,IS,1693438493
109,vila franca do campo,37.7167,-25.4333,22.23,81,39,1.01,PT,1693438494
110,grootfontein,-19.5667,18.1167,9.76,43,1,1.54,NA,1693438495
111,cabo san lucas,22.8909,-109.9124,35.34,70,20,1.54,MX,1693438205
112,sa'dah,16.9402,43.7639,21.04,67,69,1.2,YE,1693438496
113,enewetak,11.3474,162.3373,28.81,76,99,4.88,MH,1693438496
114,araripe,-7.2125,-40.0461,24.3,35,57,1.94,BR,1693438497
115,bayganin,48.6947,55.8742,13.16,49,9,3.88,KZ,1693438498
116,lamu,-2.2717,40.902,24.12,84,27,6.85,KE,1693438498
117,dispur,26.1425,91.7889,27.97,92,8,0.94,IN,1693438208
